Session number,Skinner cage no.,Animal ID,Genotype,Animal tail ID,Home cage no.,Rewarded side (L/R),05.03.2019,,,06.03.2019,,,07.03.2019,,,09.03.2019,,,10.03.2019,,,19.03.2019,,,22.03.2019,,,23.03.2019,,,04.04.2019,,,06.04.2019,,,07.04.2019,,,15.04.2019,,,16.04.2019,,,17.04.2019,,,30.04.2019,,,02.05.2019,,,06.05.2019,,,14.05.2019,,,15.05.2019,,,16.05.2019,,,28.05.2019,,,29.05.2019,,,30.05.2019,,
,2,420M,con,42,,L,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,4,3,8
,3,408M,mut,51,5,R,2,1,2,0,1,1,2,1,1,0,2,2,0,2,2,2,1,1,0,2,2,0,1,1,0,1,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,407M,con,52,,L,8,5,4,6,6,9,17,15,7,10,8,6,7,6,5,7,6,6,30,24,15,30,28,12,29,28,4,58,50,14,68,60,6,55,47,6,65,60,8,47,39,9,43,33,6,59,55,12,31,26,1,43,37,5,49,44,7,60,53,10,43,39,7,51,45,8,36,32,10
,6,409M,mut,53,,R,1,1,3,2,1,1,1,0,0,3,3,5,10,14,15,2,28,33,5,46,52,4,27,29,6,49,56,8,54,55,6,78,95,15,104,114,5,86,94,6,102,113,3,86,92,6,52,54,6,67,84,5,69,78,5,79,92,3,68,84,11,48,58,11,44,53,10,61,66
4,1,410M,con,54,,R,2,1,1,0,0,0,2,0,0,3,1,1,0,7,7,0,4,4,1,1,1,6,12,13,3,24,28,4,12,13,2,19,21,2,12,14,5,24,27,5,16,17,3,15,15,4,12,15,7,23,27,2,13,15,1,12,13,3,7,7,2,12,14,1,20,22,2,27,28
,2,402M,con,61,6,L,1,1,1,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,31,29,7,100,85,6,97,86,10,60,55,11,82,66,3,136,100,9,79,68,7,69,63,8,95,79,5,81,70,3,82,74,3,87,74,9
,3,401M,mut,62,,R,1,2,2,2,10,15,9,6,6,4,9,10,7,41,56,6,32,38,23,81,106,6,45,58,7,154,237,9,156,210,3,169,221,7,203,242,3,224,293,2,187,229,4,212,237,1,121,143,1,157,188,1,112,128,2,109,139,2,154,186,1,83,87,3,200,247,5,213,282
,5,399M,con,63,,L,5,4,4,4,4,12,7,7,10,29,28,9,39,35,11,35,24,16,10,8,2,17,16,4,67,55,16,68,59,19,53,44,6,36,30,12,91,83,4,76,67,2,28,27,2,61,52,9,41,38,9,28,23,4,48,44,7,71,62,17,45,39,2,45,45,4,50,50,8
,6,400M,mut,64,,R,1,0,0,0,0,0,2,15,16,16,48,56,7,63,76,6,48,59,4,72,86,3,55,62,3,137,172,4,144,159,6,152,169,2,180,193,2,175,185,1,206,225,2,199,224,3,144,161,7,223,291,6,180,196,0,139,167,2,133,161,7,94,113,5,124,136,5,122,140
,,,,,,,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes,Left Nosepokes,Rewards,Right Nosepokes
